Apps_name,Apps_Rating,Apps_Downloads,Apps_Review_count
Khan Academy,4.3,10M+,157K reviews
Khan Academy Kids,4.7,1M+,34.3K reviews
Duolingo: language lessons,4.6,100M+,13M reviews
Math Kids: Math Games For Kids,4,10M+,33.4K reviews
ABCmouse.com,4,10M+,89.5K reviews
Prodigy Math: Kids Game,4.2,5M+,51K reviews
ABC Kids - Tracing & Phonics,4.2,10M+,72K reviews
Epic: Kids' Books & Reading,4.4,5M+,83.4K reviews
HOMER: Fun Learning For Kids,4.2,1M+,4.51K reviews
Udemy - Online Courses,4.4,10M+,366K reviews
Adventure Academy,4.3,1M+,24.4K reviews
123 Numbers - Count & Tracing,4.3,5M+,11.2K reviews
ClassDojo,4.8,10M+,566K reviews
Starfall.com,4.1,5M+,24.7K reviews
Teach Your Monster to Read,$5.99 ,500K+,3.56K reviews
TinyTap: Kids' Learning Games,4.7,1M+,18.3K reviews
Quizlet: Languages & Vocab,4.6,10M+,475K reviews
Elevate - Brain Training Games,4.6,10M+,409K reviews
Spelling & Phonics: Kids Games,4.6,5M+,14.2K reviews
Reading Eggs - Learn to Read,4,1M+,4.71K reviews
Kahoot! Play & Create Quizzes,4.7,50M+,509K reviews
Kids Academy Talented & Gifted,3.9,100K+,2.92K reviews
Memrise Easy Language Learning,4.6,10M+,1.46M reviews
Early Learning App For Kids,4.3,1M+,11.5K reviews
Coursera,4.1,10M+,133K reviews
Preschool & Kindergarten Games,4.1,1M+,26.6K reviews
First Grade Learning Games,3.8,1M+,6.53K reviews
Lingokids: Kids Learning Games,4.3,10M+,153K reviews
PBS KIDS Games,4.3,5M+,33.9K reviews
Third Grade Learning Games,3.7,1M+,7.96K reviews
